s_no,district,station_name,address,latitude,longitude
549,Surat City,Varachha,"Suraksha Bhavan, Varachha Main Road, Varachha, Surat.",21.20935,72.849568
550,Surat City,Lalget,"School No.144, Bhagatalao, Surat.",21.198397,72.822799
551,Surat City,DCB,"Near Dhanraj Petrol Pump, Furja, Chowkbazar, Surat",21.198249,72.819321
552,Surat Rural,Bardoli,"Bardoli Police Station, Limda Chawk, Nr.Treasury Office, Bardoli Ta.Bardoli
Dist.Surat Pin 394601",21.116751,73.111782
553,Surat Rural,Kadodara GIDC,"Kadodara GIDC Police Station, Nr.Naher Khata Office, N.H.No.8 Ta.Palsana
Dist.Surat Pin 394305",21.171001,72.963062
554,Surat Rural,Kamrej,"Kamrej Police Station, Kamrej Village, Opp.CHC Kamrej Ta.Kamrej Dist.Surat Pin
394180",21.269395,72.958234
555,Surat Rural,Kosamba,"Kosamba Police Station, Kosamba, Nr.Railway Station Ta.Mangrol Dist.Surat Pin
394120",21.463833,72.953977
556,Surat Rural,Mahila,"Mahila Police Station, SP Surat Rural Office, Nr.Surat City Police Head Quarters
Athwalines Surat 395001",21.182541,72.804464
557,Surat Rural,Mahuva,"Mahuva Police Station, Near Old Mahuva Malatdar Office, Mahuva Ta.Mahuva
Dist.Surat Pin 394250",21.092233,71.769245
558,Surat Rural,Mandvi,"Mandvi Police Station, Opp.Mandvi Mamlatdar Office, Ta.Mandvi Dist.Surat
Pin 394160",21.250174,73.300941
559,Surat Rural,Mangrol,"Mangrol Police Station Opp. Mangrol Post Office, Near Mangrol Court At.
Mosali Ta.Mangrol Dist.Surat Pin 394421",21.125054,70.120404
560,Surat Rural,Olpad,"Olpad Police Station, Near Old Mamlatdar Office, Ta.Olpad Dist.Surat Pin
394540",21.337289,72.75125
561,Surat Rural,Palsana,"Palsana Police Station, Near Old Mamlatdar Office, Ta.Palsana Dist.Surat Pin
394315",21.086292,72.98781
562,Surat Rural,Umarpada,"Umarpada Police Station, Near Old Umarpada Court, Juna Umarpada
Faliyu,Ta.Umarpada Dist.Surat Pin 394445",21.448775,73.491392
563,Surat Rural,Kim,"Kim Police Station Opp. Kim Panchayat Office Ta.Olpad Dist Surat Rural Pin
394110",21.401534,72.923786
564,Surendranagar,Dhajala,"Old post Office, Dhajala",22.372536,71.413533
565,Surendranagar,Chotila,"Office of Police sub Inspector,Police Station,Chotila Village, Chotila",22.42374,71.20077
566,Surendranagar,Chuda,"Office of Police Sub Inspector,Police Station,Chuda",22.484396,71.697012
567,Surendranagar,Dasada,"Office of Police Sub Inspector,Shankheshwar Road, Three Roads,Dasada",23.32108,71.82385
568,Surendranagar,Dhrangadhra City,"Office of Police Inspector ,Mochivad na Nake Haripar Road,d hrangadhra",22.996338,71.470498
569,Surendranagar,Dhrangadhra Taluka,"Office of Police Sub Inspector,Kumbharpara Nake,Dhrangadhra",22.996521,71.469708
570,Surendranagar,Joravarnagar,"Office Of Police Sub Inspector,Joravaranagar Police Station,End of Morbi
Bridge,Joravaranagar",22.719091,71.62834
571,Surendranagar,Lakhtar,"Office of Police Sub Inspector,Railway Station Road,Lakhtar",22.859968,71.78264
572,Surendranagar,Limbdi,"Office of Police Sub Inspector,Office of Deputy Police Superintendent,Near New
Circuit House,Near Avantika Hotel,Limbadi",22.571213,71.799262
573,Surendranagar,Mahila,"Office of Police Inspector,Police Head Quarter, Near Jawahar
Ground,Surendranagar",22.729697,71.621024
574,Surendranagar,Muli,"Office of Police Sub Inspector,Near Office of Mamlatadar,Muli",22.636378,71.460917
